strata,time,n.risk,pct.risk,n.event,cum.n.event,n.censor,cum.n.censor,strata_size,jcvi_group
jcvi_group=02,0,57937,100,0,0,0,0,57937,02
jcvi_group=02,4,45233,78,10265,10265,2881,2881,57937,02
jcvi_group=02,8,39719,69,3901,14166,1290,4171,57937,02
jcvi_group=02,12,37389,65,1526,15692,763,4934,57937,02
jcvi_group=02,16,35808,62,965,16657,593,5527,57937,02
jcvi_group=02,20,34657,60,630,17287,499,6026,57937,02
jcvi_group=02,24,33795,58,388,17675,467,6493,57937,02
jcvi_group=02,28,33070,57,216,17891,497,6990,57937,02
jcvi_group=09,0,156549,100,0,0,0,0,156549,09
jcvi_group=09,4,149517,96,6265,6265,1023,1023,156549,09
jcvi_group=09,8,144724,92,3948,10213,726,1749,156549,09
jcvi_group=09,12,141617,90,2413,12626,639,2388,156549,09
jcvi_group=09,16,0,0,790,13416,140745,143133,156549,09
jcvi_group=09,20,0,0,0,13416,0,143133,156549,09
jcvi_group=09,24,0,0,0,13416,0,143133,156549,09
jcvi_group=09,28,0,0,0,13416,0,143133,156549,09
jcvi_group=11,0,792588,100,0,0,0,0,792588,11
jcvi_group=11,4,766307,97,23564,23564,3631,3631,792588,11
jcvi_group=11,8,0,0,3159,26723,762234,765865,792588,11
jcvi_group=11,12,0,0,0,26723,0,765865,792588,11
jcvi_group=11,16,0,0,0,26723,0,765865,792588,11
jcvi_group=11,20,0,0,0,26723,0,765865,792588,11
jcvi_group=11,24,0,0,0,26723,0,765865,792588,11
jcvi_group=11,28,0,0,0,26723,0,765865,792588,11
